,track_id,track_title,artist_name,album_title,track_duration,track_genre,track_bit_rate,track_listens,track_comments,artist_location,album_date_released,album_type,album_tracks
2,2,Food,AWOL,AWOL - A Way Of Life,168,Hip-Hop,256000,1293,0,New Jersey,2009-01-05,Album,7
3,3,Electric Ave,AWOL,AWOL - A Way Of Life,237,Hip-Hop,256000,514,0,New Jersey,2009-01-05,Album,7
4,5,This World,AWOL,AWOL - A Way Of Life,206,Hip-Hop,256000,1151,0,New Jersey,2009-01-05,Album,7
11,134,Street Music,AWOL,AWOL - A Way Of Life,207,Hip-Hop,256000,943,0,New Jersey,2009-01-05,Album,7
14,137,Side A,Airway,Live at LACE,1233,Experimental,256000,1278,0,"Los Angeles, CA",2006-12-01,Live Performance,2
15,138,Side B,Airway,Live at LACE,1231,Experimental,256000,489,0,"Los Angeles, CA",2006-12-01,Live Performance,2
16,139,CandyAss,Alec K. Redfearn & the Eyesores,Every Man For Himself,296,Folk,128000,582,0,"Providence, RI",2009-01-16,Album,2
17,140,Queen Of The Wires,Alec K. Redfearn & the Eyesores,The Blind Spot,253,Folk,128000,1299,0,"Providence, RI",2007-05-22,Album,1
18,141,Ohio,Alec K. Redfearn & the Eyesores,Every Man For Himself,182,Folk,128000,725,0,"Providence, RI",2009-01-16,Album,2
19,142,Punjabi Watery Grave,Alec K. Redfearn & the Eyesores,The Quiet Room,470,Folk,128000,848,0,"Providence, RI",2005-01-25,Album,1
20,144,Wire Up,Amoebic Ensemble,Amoebiasis,82,Jazz,256000,1143,0,"Providence, RI",2009-01-06,Album,0
21,145,Amoebiasis,Amoebic Ensemble,Amoebiasis,326,Jazz,256000,883,0,"Providence, RI",2009-01-06,Album,0
22,146,Gimme a Buck or I'll Touch You / Boilermaker,Amoebic Ensemble,Limbic Rage,354,Jazz,256000,690,0,"Providence, RI",1995-01-01,Album,0
23,147,Repetitive Motion Sickness,Amoebic Ensemble,Limbic Rage,232,Jazz,256000,766,0,"Providence, RI",1995-01-01,Album,0
24,148,Blackout 2,Contradiction,Contradiction,138,Experimental,256000,1831,0,"Chicago, IL",2009-01-15,Album,1
25,149,Outside the window bees buzzed...,Andy Hayleck,Two Gong/Wire Pieces,988,Experimental,287639,453,0,"Baltimore, MD",2009-01-09,Album,2
26,150,... listening to the sunshine burn the grass,Andy Hayleck,Two Gong/Wire Pieces,1182,Experimental,282817,407,0,"Baltimore, MD",2009-01-09,Album,2
27,151,Untitled 04,Animal Writes,Make Them Suffer,192,Rock,192000,148,0,"Portland, OR",2009-01-06,Album,2
